Zip Code,day,count
78738.0,Wednesday,3
78739.0,Friday,546
78739.0,Monday,484
78739.0,Saturday,505
78739.0,Sunday,508
78739.0,Thursday,535
78739.0,Tuesday,515
78739.0,Wednesday,604
78741.0,Friday,16580
78741.0,Monday,16130
78741.0,Saturday,17127
78741.0,Sunday,16613
78741.0,Thursday,15592
78741.0,Tuesday,15767
78741.0,Wednesday,16182
78742.0,Friday,280
78742.0,Monday,254
78742.0,Saturday,250
78742.0,Sunday,247
78742.0,Thursday,260
78742.0,Tuesday,234
78742.0,Wednesday,235
78744.0,Friday,11141
78744.0,Monday,10422
78744.0,Saturday,11033
78744.0,Sunday,10853
78744.0,Thursday,9972
78744.0,Tuesday,10201
78744.0,Wednesday,10049
78745.0,Friday,12532
78745.0,Monday,11812
78745.0,Saturday,11701
78745.0,Sunday,11324
78745.0,Thursday,11772
78745.0,Tuesday,11765
78745.0,Wednesday,11874
78746.0,Friday,2764
78746.0,Monday,2101
78746.0,Saturday,3211
78746.0,Sunday,2678
78746.0,Thursday,2095
78746.0,Tuesday,1939
78746.0,Wednesday,2078
78747.0,Friday,1327
78747.0,Monday,1318
78747.0,Saturday,1314
78747.0,Sunday,1325
78747.0,Thursday,1221
78747.0,Tuesday,1282
78747.0,Wednesday,1291
78748.0,Friday,6619
78748.0,Monday,6263
78748.0,Saturday,6176
78748.0,Sunday,5929
78748.0,Thursday,6053
78748.0,Tuesday,6055
78748.0,Wednesday,6096
78749.0,Friday,3528
78749.0,Monday,3271
78749.0,Saturday,3139
78749.0,Sunday,3010
78749.0,Thursday,3314
78749.0,Tuesday,3268
78749.0,Wednesday,3311
78750.0,Friday,2388
78750.0,Monday,2366
78750.0,Saturday,2261
78750.0,Sunday,2204
78750.0,Thursday,2247
78750.0,Tuesday,2318
78750.0,Wednesday,2179
78751.0,Friday,5407
78751.0,Monday,5366
78751.0,Saturday,5137
78751.0,Sunday,4911
78751.0,Thursday,5314
78751.0,Tuesday,5196
78751.0,Wednesday,5401
78752.0,Friday,6755
78752.0,Monday,6147
78752.0,Saturday,6653
78752.0,Sunday,6142
78752.0,Thursday,6272
78752.0,Tuesday,6193
78752.0,Wednesday,6133
78753.0,Friday,15669
78753.0,Monday,15332
78753.0,Saturday,15519
78753.0,Sunday,14904
78753.0,Thursday,14964
78753.0,Tuesday,15004
78753.0,Wednesday,14679
78754.0,Friday,2302
78754.0,Monday,2369
78754.0,Saturday,1905
78754.0,Sunday,1923
78754.0,Thursday,2205
78754.0,Tuesday,2371
78754.0,Wednesday,2299
78756.0,Friday,1495
78756.0,Monday,1375
78756.0,Saturday,1273
78756.0,Sunday,1161
78756.0,Thursday,1473
78756.0,Tuesday,1405
78756.0,Wednesday,1471
78757.0,Friday,4851
78757.0,Monday,4634
78757.0,Saturday,4515
78757.0,Sunday,3907
78757.0,Thursday,4619
78757.0,Tuesday,4630
78757.0,Wednesday,4672
78758.0,Friday,14087
78758.0,Monday,13578
78758.0,Saturday,13642
78758.0,Sunday,12710
78758.0,Thursday,12963
78758.0,Tuesday,13475
78758.0,Wednesday,13209
78759.0,Friday,5863
78759.0,Monday,5292
78759.0,Saturday,5213
78759.0,Sunday,4587
78759.0,Thursday,5443
78759.0,Tuesday,5564
78759.0,Wednesday,5572
