ZipCode,day,count
78747,Tuesday,1282
78747,Wednesday,1291
78748,Friday,6619
78748,Monday,6263
78748,Saturday,6176
78748,Sunday,5929
78748,Thursday,6053
78748,Tuesday,6055
78748,Wednesday,6096
78749,Friday,3528
78749,Monday,3271
78749,Saturday,3139
78749,Sunday,3010
78749,Thursday,3314
78749,Tuesday,3268
78749,Wednesday,3311
78750,Friday,2388
78750,Monday,2366
78750,Saturday,2261
78750,Sunday,2204
78750,Thursday,2247
78750,Tuesday,2318
78750,Wednesday,2179
78751,Friday,5407
78751,Monday,5366
78751,Saturday,5137
78751,Sunday,4911
78751,Thursday,5314
78751,Tuesday,5196
78751,Wednesday,5401
78752,Friday,6755
78752,Monday,6147
78752,Saturday,6653
78752,Sunday,6142
78752,Thursday,6272
78752,Tuesday,6193
78752,Wednesday,6133
78753,Friday,15669
78753,Monday,15332
78753,Saturday,15519
78753,Sunday,14904
78753,Thursday,14964
78753,Tuesday,15004
78753,Wednesday,14679
78754,Friday,2302
78754,Monday,2369
78754,Saturday,1905
78754,Sunday,1923
78754,Thursday,2205
78754,Tuesday,2371
78754,Wednesday,2299
78756,Friday,1495
78756,Monday,1375
78756,Saturday,1273
78756,Sunday,1161
78756,Thursday,1473
78756,Tuesday,1405
78756,Wednesday,1471
78757,Friday,4851
78757,Monday,4634
78757,Saturday,4515
78757,Sunday,3907
78757,Thursday,4619
78757,Tuesday,4630
78757,Wednesday,4672
78758,Friday,14087
78758,Monday,13578
78758,Saturday,13642
78758,Sunday,12710
78758,Thursday,12963
78758,Tuesday,13475
78758,Wednesday,13209
78759,Friday,5863
78759,Monday,5292
78759,Saturday,5213
78759,Sunday,4587
78759,Thursday,5443
78759,Tuesday,5564
78759,Wednesday,5572
